train,encoder,seed,acc,median_regret,mean_regret,top2_acc,top2_median_regret,top2_mean_regret,top3_acc,top3_median_regret,top3_mean_regret,rank_spearman
synthetic,manual,0,0.20781893004115226,0.0035571787328466664,0.04864054927235306,0.3374485596707819,0.000792244174865897,0.028447294379815184,0.39711934156378603,0.00024388517240941932,0.020422298046771585,0.3482721259666484
synthetic,embed,0,0.2654320987654321,0.0022541845497925372,0.05505421584705616,0.44650205761316875,2.5315353197052914e-07,0.0271444011478898,0.5349794238683128,0.0,0.016900359709714867,0.4415736322971934
synthetic,manual,1,0.20781893004115226,0.0044249050928355516,0.048687473192969996,0.3374485596707819,0.0008739218867491183,0.027900750234347464,0.3991769547325103,0.00024388517240941932,0.0210021661790406,0.34767392720708645
synthetic,embed,1,0.2613168724279835,0.0025646253049568246,0.056919039605374616,0.4547325102880658,1.8970081555602647e-07,0.024799457833260062,0.5390946502057613,0.0,0.01662912146038635,0.44536043868205194
synthetic,manual,2,0.22016460905349794,0.0033473966577843295,0.05030544390723273,0.35185185185185186,0.0007041437479233803,0.02700733718980635,0.3991769547325103,0.00024773849808468196,0.020407751376902532,0.3402970883699103
synthetic,embed,2,0.2139917695473251,0.004744253822478672,0.057545892194363416,0.35802469135802467,0.0008580141255396523,0.03325441642816734,0.4403292181069959,0.00014978179092900445,0.021813056744349135,0.3852374203406717
real-v1,manual,0,0.24691358024691357,0.0034037929644343823,0.047547163118329794,0.4074074074074074,0.0004698079380271447,0.02840180031022048,0.48148148148148145,2.9020048547545585e-06,0.021259753578740357,0.4264837050882953
real-v1,embed,0,0.25308641975308643,0.00280427581149445,0.06212509608162582,0.4444444444444444,0.0002013627676233365,0.027890522894150293,0.5246913580246914,0.0,0.016113847992584484,0.34136383756630645
real-v1,manual,1,0.22016460905349794,0.004081710959808971,0.049008901590366444,0.37448559670781895,0.0007372114777381977,0.03321648314585317,0.4506172839506173,0.00012037326181585373,0.023360768022186184,0.41617058459395423
real-v1,embed,1,0.22016460905349794,0.0035636940189639477,0.05175064689880265,0.43209876543209874,0.000146767629150113,0.026442852200556796,0.49794238683127573,1.2953668915294259e-08,0.01887679426634562,0.3708667466605214
real-v1,manual,2,0.24897119341563786,0.0044396470761510765,0.04895422733730198,0.4012345679012346,0.0004803945536886456,0.027420666296215777,0.4732510288065844,1.9914955003974555e-06,0.019538342099979216,0.4448615142213819
real-v1,embed,2,0.2345679012345679,0.0032985571496518262,0.05845190724639265,0.4176954732510288,0.0003976010134780772,0.023668073284719402,0.5,7.861017392585268e-11,0.01800627699523878,0.3484924882584071
