dataset,source,N,d,att_r2,acc_synthetic_manual,mreg_synthetic_manual,acc_synthetic_embed,mreg_synthetic_embed,acc_real-v1_manual,mreg_real-v1_manual,acc_real-v1_embed,mreg_real-v1_embed
Moneyball,CTR23,420,8,0.9263559267970813,0.05555555555555555,0.012045056938098918,0.3148148148148148,0.007840000366044722,0.2962962962962963,0.00666305885355038,0.2037037037037037,0.010040484026228357
QSAR_fish_toxicity,CTR23,908,6,0.5701799698020017,0.3333333333333333,0.036865205229040916,0.37037037037037035,0.04771738011237136,0.2962962962962963,0.04720255607273257,0.2962962962962963,0.045420021147350914
abalone,CTR23,4177,7,0.5352799564522226,0.05555555555555555,0.088240376930867,0.037037037037037035,0.08757204360135029,0.0,0.10056361585704995,0.35185185185185186,0.12689722243161064
auction_verification,CTR23,2043,5,0.20059868928693558,0.2777777777777778,0.09189995713361353,0.2222222222222222,0.12588264860470488,0.2222222222222222,0.050762302844144076,0.3333333333333333,0.06063802291884452
brazilian_houses,CTR23,10692,5,0.5951800605837079,0.16666666666666666,0.2401355959795588,0.16666666666666666,0.34713484247869875,0.2222222222222222,0.23426403471711132,0.1111111111111111,0.4199428223250559
california_housing,CTR23,20640,8,0.6779661147624105,0.37037037037037035,0.03775073047597403,0.37037037037037035,0.04506498687866869,0.3888888888888889,0.05200463333308117,0.3888888888888889,0.05572545196533663
cars,CTR23,804,17,0.9227246546062906,0.05555555555555555,0.04053104788981604,0.037037037037037035,0.05576661896857033,0.09259259259259259,0.03363317082692196,0.1111111111111111,0.02995438842796014
cps88wages,CTR23,28155,2,0.2089195369497348,0.037037037037037035,0.05474706443173304,0.12962962962962962,0.05513838938637119,0.18518518518518517,0.04606940519832968,0.24074074074074073,0.0402930994956483
diamonds,CTR23,50000,6,0.8692145070227104,0.2222222222222222,0.06803803127829636,0.16666666666666666,0.07536546956002911,0.3333333333333333,0.04941879225447643,0.14814814814814814,0.06494160917076491
fifa,CTR23,19178,27,0.6598185074728407,0.24074074074074073,0.07778822766761362,0.2222222222222222,0.099578915541793,0.2037037037037037,0.08435965943044106,0.2222222222222222,0.0720288805633355
health_insurance,CTR23,22272,4,0.12590360542010914,0.2777777777777778,0.04985472519853303,0.3333333333333333,0.04411066801746908,0.2777777777777778,0.026021256872203986,0.2962962962962963,0.022136999822315512
kings_county,CTR23,21613,17,0.7043985818240308,0.3888888888888889,0.05262872895269085,0.4074074074074074,0.059564091158915984,0.3888888888888889,0.05831669722285361,0.46296296296296297,0.05318674873958255
miami_housing,CTR23,13932,15,0.8012536372406023,0.5,0.0436382839095211,0.48148148148148145,0.049521374594214324,0.35185185185185186,0.077601641138029,0.42592592592592593,0.059970367384919676
space_ga,CTR23,3107,6,0.6421880477632147,0.25925925925925924,0.04005990235591232,0.16666666666666666,0.06635611292734771,0.2037037037037037,0.04526836650731999,0.24074074074074073,0.05513067245438389
video_transcoding,CTR23,50000,16,0.31651549710041504,0.1111111111111111,0.08986784935963114,0.16666666666666666,0.08695026751029368,0.1111111111111111,0.09594224979282015,0.12962962962962962,0.08892321089627185
vlse_curretal88exp,VLSE,10000,2,0.9999484300810342,0.14814814814814814,0.008829597803484128,0.1111111111111111,0.019290129102947275,0.16666666666666666,0.005231931261670063,0.09259259259259259,0.019704648642879706
vlse_franke2d,VLSE,10000,2,0.999809935821249,0.2962962962962963,0.013945035499548878,0.5370370370370371,0.006628368938984384,0.5185185185185185,0.0008999169308107583,0.24074074074074073,0.023956722344361952
vlse_limetal02non,VLSE,10000,2,0.9999999870766838,0.3888888888888889,0.022197990178195327,0.3888888888888889,0.03143325576252736,0.18518518518518517,0.027579041621286462,0.2037037037037037,0.011975814461713962
vlse_limetal02pol,VLSE,10000,2,0.9999999999999845,0.05555555555555555,0.013606537754249234,0.05555555555555555,0.0056298202135518565,0.05555555555555555,0.01436069559825611,0.037037037037037035,0.013196150341612409
vlse_detpep10curv,VLSE,10000,3,0.9999999991578263,0.05555555555555555,0.02723302328606933,0.09259259259259259,0.009498547366962654,0.05555555555555555,0.020556737009704715,0.037037037037037035,0.021607560201235724
vlse_detpep108d,VLSE,10000,8,0.9999099945421984,0.0,0.04512400533185681,0.09259259259259259,0.04362449035953451,0.12962962962962962,0.04743484103988318,0.2777777777777778,0.05401979409272961
vlse_detpep10exp,VLSE,10000,3,0.9999581198399226,0.0,0.0039761661483174665,0.2222222222222222,0.003259139331852689,0.0,0.011123548182338341,0.12962962962962962,0.0037737704379806037
vlse_welchetal92,VLSE,10000,20,0.9986504262230814,0.2222222222222222,0.09148376736458275,0.2222222222222222,0.08896712812994476,0.2037037037037037,0.0893102867821892,0.2222222222222222,0.10654422082799667
vlse_ishigami,VLSE,10000,3,0.9343997029561859,0.25925925925925924,0.026636415305453385,0.4074074074074074,0.010623303710903744,0.3333333333333333,0.012721066750772994,0.25925925925925924,0.0191924493551481
vlse_park91a,VLSE,10000,4,0.9999996523070886,0.37037037037037035,0.0008251788945655785,0.2962962962962963,0.00011411117950311306,0.5,9.420714443307709e-05,0.2962962962962963,0.00022708422655791938
vlse_park91b,VLSE,10000,4,0.9999999975168594,0.14814814814814814,0.0021688626610122056,0.2777777777777778,0.0001748219380856749,0.4444444444444444,0.00015329639883425604,0.3148148148148148,0.00029789451322323777
vlse_environ,VLSE,10000,6,0.7418139504010359,0.42592592592592593,0.048583833394766254,0.37037037037037035,0.05286540307950661,0.2777777777777778,0.07203561877273941,0.2962962962962963,0.07122274082634086
