metric,vs,mean,lo,hi,p_gt0
acc1,synthetic/manual,0.03496316872427983,0.0013717421124828648,0.07133058984910837,0.9803
acc1,real-v1/manual,0.008598765432098764,-0.027434842249657088,0.043895747599451335,0.6741
acc1,real-v1/embed,0.010920438957475994,-0.0336076817558299,0.054183813443072715,0.6882
med_regret,synthetic/manual,-0.0008386880655248637,-0.0026295974183725025,0.001468598307487663,0.1485
med_regret,real-v1/manual,-0.0007568134726759207,-0.002693069668352495,0.0013737921613271007,0.1546
med_regret,real-v1/embed,4.2853789577969695e-05,-0.0013018898640033715,0.0026257371533561424,0.4017
acc3,synthetic/manual,0.10652572016460907,0.03703703703703709,0.1838134430727023,0.9993
acc3,real-v1/manual,0.036679903978052125,-0.028806584362139898,0.1056241426611797,0.8522
acc3,real-v1/embed,-0.002778669410150893,-0.052812071330589794,0.04526748971193417,0.4555
spearman,synthetic/manual,0.07850129131949368,0.01930201136715562,0.14280138684446417,0.9961
spearman,real-v1/manual,-0.004987901473039461,-0.050431531868134934,0.04553527433710273,0.4056
spearman,real-v1/embed,0.07038551484806521,0.030359477017002874,0.11223573259426095,1.0
acc_eps,synthetic/manual,0.01711282578875171,-0.015775034293552762,0.05144032921810693,0.8322
acc_eps,real-v1/manual,0.015484705075445816,-0.017832647462277196,0.048696844993141086,0.8168
acc_eps,real-v1/embed,0.0019928669410150903,-0.03429355281207136,0.03566529492455417,0.5457
