train,encoder,seed,source,n_cells,acc,median_regret,mean_regret
synthetic,manual,0,CTR23,270,0.2222222222222222,0.016811758089843032,0.0697239538066865
synthetic,manual,0,VLSE,216,0.18981481481481483,0.0008113530406250735,0.02228629360443625
synthetic,embed,0,CTR23,270,0.24444444444444444,0.01668151263893164,0.08492194686816378
synthetic,embed,0,VLSE,216,0.2916666666666667,7.810186525053497e-05,0.017719552070671635
real-v1,manual,0,CTR23,270,0.24444444444444444,0.015633786231291913,0.06982913669184108
real-v1,manual,0,VLSE,216,0.25,0.0005199331484284642,0.01969469615144066
real-v1,embed,0,CTR23,270,0.27037037037037037,0.012900589163684861,0.09207665837417078
real-v1,embed,0,VLSE,216,0.23148148148148148,0.00040256640000979615,0.024685643215944655
synthetic,manual,1,CTR23,270,0.2222222222222222,0.015900694806115334,0.06683456749835134
synthetic,manual,1,VLSE,216,0.18981481481481483,0.0010271198754066568,0.0260036053112433
synthetic,embed,1,CTR23,270,0.23333333333333334,0.013721073111094495,0.08334727279076286
synthetic,embed,1,VLSE,216,0.2962962962962963,0.00016488045017837294,0.023883748123639317
real-v1,manual,1,CTR23,270,0.2222222222222222,0.015840155770014186,0.06816000926085555
real-v1,manual,1,VLSE,216,0.2175925925925926,0.0008492631668345907,0.025070017002255036
real-v1,embed,1,CTR23,270,0.25925925925925924,0.013721073111094495,0.06324935499566701
real-v1,embed,1,VLSE,216,0.1712962962962963,0.0005950467580086438,0.0373772617777222
synthetic,manual,2,CTR23,270,0.22592592592592592,0.018845953390103365,0.06825963544114229
synthetic,manual,2,VLSE,216,0.21296296296296297,0.0007164482134267569,0.027862704489845787
synthetic,embed,2,CTR23,270,0.24074074074074073,0.02132034849051334,0.082443542282442
synthetic,embed,2,VLSE,216,0.18055555555555555,0.0007430746489066054,0.026423829584265195
real-v1,manual,2,CTR23,270,0.24814814814814815,0.014991872231301051,0.06362914223151643
real-v1,manual,2,VLSE,216,0.25,0.001523281522656461,0.030610583719533943
real-v1,embed,2,CTR23,270,0.26296296296296295,0.01639537123499618,0.08571998698408409
real-v1,embed,2,VLSE,216,0.19907407407407407,0.00071348696718182,0.024366807574278334
